Top consultas,Cliques,Impressões,CTR,Posição
desonerado e não desonerado,0,22,0%,7.5
sinapi desonerado,1,18,5.56%,6.8
aditivo qualitativo e quantitativo,0,12,0%,6.1
prorrogação prazo obra pública chuva,0,10,0%,3.5
prazo de vigência e prazo de execução,0,9,0%,7.0
glosa de medição obra pública,1,8,12.5%,4.0
bdi diferenciado obra pública,1,6,16.67%,6.3
curva abc reequilíbrio,1,5,20%,4.4
medição rejeitada obra pública,1,5,20%,5.5
avcb,0,3,0%,40.0
confenge,1,4,25%,1.5
aditivos obras públicas,0,6,0%,35.0
