Páginas principais,Cliques,Impressões,CTR,Posição
https://confenge.com.br/conteudos/sinapi-desonerado-nao-desonerado/,1,89,1.12%,7.27
https://confenge.com.br/conteudos/aditivo-qualitativo-quantitativo/,0,22,0%,6.09
https://confenge.com.br/conteudos/prazo-vigencia-prazo-execucao-contrato-obra/,0,18,0%,7.0
https://confenge.com.br/conteudos/chuva-prorrogacao-prazo-obra-publica/,0,17,0%,3.35
https://confenge.com.br/conteudos/bdi-diferenciado-obra-publica/,2,11,18.18%,6.27
https://confenge.com.br/conteudos/glosa-de-medicao-obra-publica/,1,8,12.5%,4.0
https://confenge.com.br/conteudos/curva-abc-reequilibrio-contrato/,1,7,14.29%,4.43
https://confenge.com.br/conteudos/medicao-de-obra-publica-rejeitada/,1,6,16.67%,5.5
https://confenge.com.br/aditivos-obras-publicas/,0,12,0%,49.25
https://confenge.com.br/medicoes-glosas-obras-publicas/,0,8,0%,7.88
https://confenge.com.br/reequilibrio-obras-publicas/,0,4,0%,7.75
https://confenge.com.br/auditoria-orcamento-licitacao/,0,3,0%,9.0
https://confenge.com.br/diagnostico-b2g-360/,0,1,0%,15.0
https://confenge.com.br/diagnostico-pre-licitacao/,0,1,0%,18.0
http://confenge.com.br/,0,7,0%,8.0
https://confenge.com.br/blog,0,4,0%,1.0
https://confenge.com.br/trabalhe-conosco,0,4,0%,2.0
https://confenge.com.br/conteudos/,1,40,2.5%,12.0
https://confenge.com.br/,2,35,5.71%,9.5
https://confenge.com.br/conteudos/prorrogacao-prazo-obra-publica-documentos/,0,15,0%,9.2
https://confenge.com.br/conteudos/limite-aditivo-25-50-obra-publica/,0,14,0%,11.0
https://confenge.com.br/conteudos/fiscal-nao-assina-medicao-obra-publica/,1,12,8.33%,6.5
https://confenge.com.br/conteudos/atraso-na-medicao-obra-publica/,0,10,0%,8.1
https://confenge.com.br/conteudos/bdi-obra-publica/,0,9,0%,10.2
https://confenge.com.br/conteudos/sinapi-ou-sicro-obra-publica/,0,8,0%,9.8
https://confenge.com.br/ferramentas/,0,5,0%,20.0
https://confenge.com.br/especialista/tiago-jun-sasaki/,0,3,0%,15.0
